Question,Answer,Explanation,Paraphrase 1,Paraphrase 2,Paraphrase 3,Difficulty Level,Hint
What is a computer network?,A computer network is a collection of interconnected devices that can communicate and share resources.,"A computer network is a set of devices connected together to facilitate communication and resource sharing. It can include computers, servers, routers, switches, and other networking equipment.",A computer network refers to the infrastructure that allows multiple computers or devices to connect and exchange information.,"A computer network is a system that enables computers to communicate with each other using cables, wireless connections, or both.","A computer network is a setup that enables computers to speak to one another via wired, wireless, or both connections.",Easy,"Connected devices and computers, sharing and communicating digitally."
What is the purpose of an IP address?,An IP address uniquely identifies a device on a network and enables it to send and receive data.," An IP address plays a crucial role in computer networks. It serves as a unique identifier for devices, allowing them to communicate and be located within a network. IP addresses are either assigned manually (static) or dynamically (DHCP).","An IP address is used to locate and identify devices on a network, allowing for proper routing of data packets.","An IP address serves as a numerical label assigned to each device in a network, enabling communication between devices.","Each device in a network is given an IP address, which acts as a number label and permits communication between the devices.",Easy,"Device identification online, like a home address for the internet."
What is a router in a computer network?,A router is a networking device that connects multiple networks together and forwards data packets between them.,"A router is a critical networking device that operates at the network layer (Layer 3) of the OSI model. It connects different networks and forwards data packets between them, making decisions based on the destination IP address in the packet's header.",A router is responsible for directing network traffic based on the destination IP address of data packets.," A router acts as a gateway between networks, determining the best path for data transmission.","A router serves as a bridge between networks, choosing the most efficient route for data transmission.",Easy,"Directs data between networks, traffic manager for the internet."
What is the difference between a hub and a switch?,"A hub is a basic networking device that broadcasts data to all connected devices, while a switch selectively forwards data to specific devices.","A hub is a simple device that receives data from one port and sends it to all other ports, regardless of the intended recipient. In contrast, a switch intelligently directs data to the specific port that matches the destination MAC address, reducing network congestion and improving performance.","A hub operates at the physical layer (Layer 1) of the OSI model, whereas a switch operates at the data link layer (Layer 2).","Unlike a switch, a hub does not examine data packets and cannot perform collision avoidance or packet filtering.","A hub, in contrast to a switch, does not perform packet filtering or collision avoidance, nor does it inspect data packets.",Easy,"Hub shares to everyone, switch selects, think of it as broadcast vs. choice."
What is the purpose of DNS in computer networks?,"DNS (Domain Name System) translates domain names into IP addresses, allowing users to access websites using human-readable names.","DNS is a critical service that translates domain names (e.g., www.example.com) into IP addresses (e.g., 192.0.2.1). It eliminates the need for users to remember and use numerical IP addresses, making it easier to access websites and services on the internet.","DNS enables the resolution of domain names to IP addresses, facilitating the routing of network traffic on the internet.",DNS provides a distributed directory service that associates domain names with their corresponding IP addresses.,"Domain names are connected to their respective IP addresses using DNS, which offers a distributed directory service.",Easy,"Translates names to numbers, internet's name-to-number directory."
What is the purpose of a firewall in a computer network?,"A firewall acts as a security barrier that monitors and controls incoming and outgoing network traffic, protecting the network from unauthorized access and threats."," A firewall is a network security device that acts as a gatekeeper between internal and external networks. It monitors network traffic, applies security rules, and determines whether to allow or block specific connections based on those rules. It helps protect the network from malicious activities and unauthorized access attempts.","A firewall filters network traffic based on predefined rules, allowing or blocking specific connections to ensure network security.",A firewall helps prevent unauthorized access to a network by examining network packets and enforcing security policies.,"By inspecting network packets and enforcing security guidelines, a firewall aids in preventing unauthorised access to a network.",Easy,"Blocks unwanted network traffic, network security guard."
What is the difference between TCP and UDP?," TCP (Transmission Control Protocol) provides reliable, connection-oriented communication, ensuring data delivery in the correct order without loss or duplication."," TCP and UDP are transport layer protocols in the TCP/IP suite. TCP establishes a connection between communicating parties, guarantees reliable data delivery, and performs error detection and correction. UDP, on the other hand, does not establish a connection and does not provide reliable delivery or error recovery. It is often used for real-time applications such as video streaming or DNS, where speed and low overhead are crucial.","UDP (User Datagram Protocol) provides connectionless, unreliable communication, suitable for applications that prioritize speed and efficiency over reliability.","TCP includes mechanisms for flow control, error detection, and retransmission, while UDP does not have these features.","Flow control, error detection, and retransmission procedures are all present in TCP, but they are absent in UDP.",Easy,"TCP is careful and reliable, UDP is fast but less careful."
What is a MAC address?,A MAC (Media Access Control) address is a unique identifier assigned to a network interface card (NIC) or network adapter.,"A MAC address is a hardware address assigned to the network interface of a device. It is a unique identifier at the data link layer (Layer 2) of the OSI model. MAC addresses are used for local network communication, allowing devices to send data directly to the intended recipient within the same network segment.",A MAC address is a 48-bit (or 64-bit) binary value that uniquely identifies a device at the data link layer of the OSI model., MAC addresses are assigned by the manufacturer and are used to ensure the proper delivery of data within a local network.,Manufacturer-assigned MAC addresses are used to guarantee correct data transport within a local network.,Easy,"Unique hardware ID, like a digital fingerprint."
What is the purpose of NAT (Network Address Translation)?,NAT allows multiple devices within a private network to share a single public IP address for internet connectivity.,"NAT is a technique used to conserve IP address space and provide internet connectivity to devices within a private network. It maps multiple private IP addresses to a single public IP address, enabling devices to communicate with the internet using the shared public address. NAT also enhances network security by hiding the internal IP addresses from external networks.",NAT translates private IP addresses to a public IP address when sending data packets over the internet.,NAT provides a means to hide the internal IP addresses of a network from external networks for security reasons.,"For security purposes, NAT offers a way to disguise a network's internal IP addresses from neighbouring networks.",Easy,"Hides devices behind one address, internet privacy shield."
What is the purpose of an SSL/TLS certificate in secure communication?,"An SSL/TLS certificate validates the authenticity and identity of a website, encrypts data transmission, and establishes a secure connection.","SSL (Secure Sockets Layer) and its successor TLS (Transport Layer Security) protocols are used to secure communication over the internet. An SSL/TLS certificate is issued by a trusted certificate authority (CA) and verifies the ownership and authenticity of a website. It enables encryption of data transmitted between a client's web browser and a server, ensuring that sensitive information remains private and protected from eavesdropping or tampering.",SSL/TLS certificates ensure the confidentiality and integrity of data exchanged between a client and a server over the internet.,"SSL/TLS certificates provide the public key infrastructure necessary for secure communication, enabling encryption and decryption of data.","Data encryption and decryption are made possible by SSL/TLS certificates, which provide the public key infrastructure required for secure communication.",Easy,"Keeps online conversations secret, proves website authenticity."
