Question,Answer,Explanation,Paraphrase 1,Paraphrase 2,Paraphrase 3,Difficulty Level,Hint
What is a data structure?,A data structure is a way of organizing and storing data in a computer memory.,"Data structures provide a way to manage and manipulate data efficiently. They define how the data is stored, accessed, and operated upon.","In a computer's memory, a data structure is a method of data organisation and storage.",A data structure is a method for arranging and keeping track of data in computer memory.,Organising and storing data in a computer's memory is done using a data structure.,Easy,It's a way to organize and store data effectively in a computer program.
What is an array?,An array is a linear data structure that stores a fixed-size sequence of elements of the same type.,"Arrays provide random access to elements based on their index, allowing efficient retrieval and modification of data.",A linear data structure known as an array stores a fixed-length sequence of identical-type elements.,"A fixed-size sequence of identically typed elements are kept in an array, which is a linear data structure.",A linear data structure known as an array contains elements of the same kind in fixed-length sequences.,Easy,Think of it as a list of items where you can access each item by its position or index.
 What is a linked list?,A linked list is a linear data structure where each element (node) contains a reference to the next node in the sequence.,"Linked lists are dynamic and can efficiently insert or delete elements at any position, but they require additional memory for the node references.","Each node (element) in a linked list has a reference to the node after it in the sequence, making it a linear data structure.",Each element (node) in a linked list carries a reference to the node after it in the hierarchy.,A linked list is a linear data structure in which every element (or node) has a reference to the one after it in the hierarchy.,Easy,Imagine a chain of elements where each element knows about the next one in line.
What is a stack?,A stack is a linear data structure that follows the Last-In-First-Out (LIFO) principle.,"Stacks allow insertion and deletion of elements only from one end, called the top. It can be implemented using an array or a linked list.","The Last-In-First-Out (LIFO) principle is applied to stacks, which are linear data structures.","According to the Last-In-First-Out (LIFO) principle, a stack is a linear data structure.",A stack is a linear data structure that adheres to the Last-In-First-Out (LIFO) tenet.,Easy,It's like a stack of plates – the last one you put on top is the first one you take off.
What is a queue?, A queue is a linear data structure that follows the First-In-First-Out (FIFO) principle.,Queues allow insertion at the rear and deletion from the front. They can be implemented using an array or a linked list.,First-In-First-Out (FIFO) is a linear data structure that governs queues.,"The First-In-First-Out (FIFO) principle is applied to queues, which are linear data structures.","Using the First-In-First-Out (FIFO) principle, a queue is a linear data structure.",Easy,Think of it as a line of people waiting for a bus – the first one to arrive is the first to board.
What is a tree?,A tree is a hierarchical data structure that consists of nodes connected by edges.,"rees are used to represent hierarchical relationships and have various types such as binary trees, binary search trees, and AVL trees.",A tree is a type of hierarchical data structure made up of nodes and edges.,The hierarchical data structure known as a tree is made up of nodes and edges.,An edge-connected hierarchical data structure known as a tree consists of nodes.,Easy,It's a hierarchical structure that starts with a root and branches out into smaller parts.
What is a binary search tree (BST)?,"A binary search tree is a binary tree where the left child of a node contains a smaller value, and the right child contains a larger value.","BSTs allow efficient searching, insertion, and deletion operations in logarithmic time complexity.","A binary search tree is a binary tree in which a node's left child has a smaller value than its right child, and vice versa.","In a binary search tree, the left child of a node has a smaller value than the right child, which has a greater value.","In a binary search tree, the right child of a node has a bigger value than the left child, which is referred to as the left child in a binary tree.",Easy,"A special type of tree where items on the left are smaller, and items on the right are larger than the root."
What is a graph?,"A graph is a data structure that consists of a set of vertices (also known as nodes) connected by edges. It is used to represent relationships or connections between different entities. Graphs are widely used in various domains, including computer science, mathematics, social networks, and transportation systems, to model and analyze complex relationships and solve related problems.","Graphs are used to represent relationships between objects. They can be directed or undirected, weighted or unweighted.","A graph is a type of data structure made up of a collection of vertices (sometimes referred to as nodes) linked together by edges. It is utilised to represent links or relationships between several entities. Graphs are frequently used to represent and analyse complicated interactions and to address related issues in many different fields, including computer science, mathematics, social networks, and transportation systems.","A set of vertices, often referred to as nodes, joined by edges make up a graph, which is a type of data structure. It serves as a visual representation of links or relationships between various elements. In many fields, including computer science, mathematics, social networks, and transportation systems, graphs are frequently used to describe and analyse complicated interactions and to address related issues.","A graph is a type of data structure made up of nodes and edges that are connected by vertices. The links or interconnections between various entities are represented by it. To model and analyse complicated interactions and address related issues, graphs are frequently utilised in a variety of fields, including computer science, mathematics, social networks, and transportation systems.",Easy,Imagine points connected by lines – it's a way to represent complex relationships.
What is a hash table?,"A hash table is a data structure that uses hash functions to map keys to values, allowing constant-time average case retrieval.",Hash tables are widely used for fast data lookup. They offer efficient insertion and deletion operations as well.,A hash table is a type of data structure that use hash functions to map keys to values and enable retrieval of the average case in constant time.,"A hash table is a type of data structure that maps keys to values using hash functions, enabling retrieval of the average case in constant time.","It is possible to retrieve the average case in constant time by using a data structure called a hash table, which employs hash functions to map keys to values.",Easy,It's like a dictionary where you look up words (keys) to find their meanings (values) quickly.
What is a sorting algorithm?,"A sorting algorithm arranges a list of elements into a specific order, such as ascending or descending.","Sorting algorithms vary in efficiency and complexity. Common sorting algorithms include bubble sort, insertion sort, and quicksort.","An algorithm for sorting puts the elements in a list in a certain order, such as ascending or descending.","In a given order, such as ascending or descending, a sorting algorithm arranges a list of elements.","An algorithm for sorting puts a list of items in a particular order, such as ascending or descending.",Easy,"It's a method to put things in order, like arranging a deck of cards from lowest to highest."
What is the time complexity of the bubble sort algorithm?,The bubble sort algorithm has an average and worst-case time complexity of O(n^2).,"Bubble sort repeatedly compares adjacent elements and swaps them if they are in the wrong order, moving the larger elements towards the end.",The worst-case and average time complexity of the bubble sort algorithm is O(n^2).,O(n^2) is the average and worst-case time complexity of the bubble sort algorithm.,O(n^2),Easy,"Bubble sort has a basic time complexity, and it involves repeatedly comparing and swapping adjacent elements."
What is the time complexity of the insertion sort algorithm?,The insertion sort algorithm has an average and worst-case time complexity of O(n^2)., Insertion sort builds a sorted sublist by iteratively inserting elements into their correct position within the sublist.,The average and worst-case time complexity of the insertion sort method is O(n2).,O(n2) is the average and worst-case time complexity of the insertion sort algorithm.,O(n2) is the average and worst-case time complexity of the insertion sort algorithm.,Easy,Insertion sort is efficient for small datasets; it 'inserts' each element into its correct position one at a time.
What is the time complexity of the quicksort algorithm?,"The average time complexity of the quicksort algorithm is O(n log n), but in the worst case, it can be O(n^2).",Quicksort partitions the array based on a pivot element and recursively applies the same process to the subarrays.,"The quicksort method has an average time complexity of O(n log n), although in the worst case, it can be as low as O(n2).","The quicksort algorithm's typical time complexity is O(n log n), but in the worst-case scenario, it may be O(n2).","The quicksort method has an O(n log n) time complexity on average, but it can go as low as O(n2).",Easy,"Quicksort is a 'quick' sorting algorithm with a divide-and-conquer approach, and it has an average-case time complexity that's often better than other sorting methods."
What is the time complexity of the merge sort algorithm?,The time complexity of merge sort is O(n log n) in all cases.,"Merge sort divides the array into two halves, recursively sorts them, and then merges the two sorted halves.",Merge sort always has an O(n log n) time complexity.,Merge sort has a constant time complexity of O(n log n).,Merge sort has an overall time complexity of O(n log n).,Easy,"Merge sort is a 'divide and conquer' approach that divides the list into smaller sublists, sorts them, and then merges them back together."
What is the time complexity of the binary search algorithm?,The time complexity of the binary search algorithm is O(log n).,"Binary search divides the search space in half at each step, narrowing down the range of possible values.",The binary search algorithm has an O(log n) time complexity.,The binary search method has a temporal complexity of O(log n).,Binary search algorithms are O(log n) in terms of their temporal complexity.,Easy,Binary search is an efficient algorithm for finding items in a sorted list by repeatedly dividing the search range in half.
What is dynamic programming?,Dynamic programming is a method for solving complex problems by breaking them down into overlapping subproblems and storing their solutions.," Dynamic programming saves the solutions to subproblems and reuses them to avoid redundant computations, improving efficiency.","In order to solve complex issues, dynamic programming divides them into overlapping subproblems and stores the solutions.","Using overlapping subproblems and a database of answers, dynamic programming is a technique for resolving complex issues.","With the help of overlapping subproblems and the storage of their answers, dynamic programming is a technique for resolving complex issues.",Easy,Dynamic programming is a technique for solving complex problems by breaking them down into simpler subproblems and reusing solutions to those subproblems.
What is the difference between breadth-first search (BFS) and depth-first search (DFS)?,"BFS explores all the neighbors of a node before moving to the next level, while DFS explores as far as possible along each branch before backtracking.","BFS is often used to find the shortest path in unweighted graphs, while DFS is useful for exploring all paths in a graph.","Before going up a level, BFS investigates every neighbour of a node, whereas DFS travels as far as it can along each branch before turning around.","While DFS travels as far as it can along each branch before turning around, BFS explores every node's neighbours before ascending to the next level.","While DFS explores as far as it can along each branch before going back, BFS explores every neighbour of a node before going to the next level.",Easy,"BFS explores nodes level by level, like pouring water, while DFS explores as deeply as possible before backtracking."
What is an algorithm?,An algorithm is a step-by-step procedure or set of rules for solving a specific problem.,"Algorithms provide a systematic approach to problem-solving, allowing for efficient and reliable solutions.",An algorithm is a detailed process or collection of guidelines for resolving a particular issue.,An algorithm is a method or set of rules that solves a particular problem step-by-step.,A set of rules or a process with precise steps for addressing a problem is known as an algorithm.,Easy,An algorithm is a step-by-step set of instructions to solve a specific problem or perform a particular task.
What is recursion?,Recursion is a programming technique where a function calls itself to solve a smaller subproblem.,"Recursion allows the solution of complex problems by breaking them down into smaller, more manageable subproblems.",Programming recursion is the process of a function calling itself to address a smaller subproblem.,Programming recursion involves a function calling itself to address a more manageable subproblem.,A programming method known as recursion uses a function to call itself in order to address a more specific subproblem.,Easy,"Recursion is a programming technique where a function calls itself to solve a problem by breaking it into smaller, similar subproblems."
What is the time complexity of an algorithm?,The time complexity of an algorithm measures the amount of time it takes to run as a function of the input size.,"Time complexity helps analyze how the running time of an algorithm increases with the input size, facilitating performance comparisons.",An algorithm's time complexity gauges how long it takes to execute in relation to the size of the input.,The temporal complexity of an algorithm gauges how long it takes to execute in relation to the size of the input.,"As a function of the size of the input, an algorithm's time complexity expresses how long it will take to complete.",Easy,Time complexity measures the efficiency of an algorithm and how its running time scales with the size of the input data.
What is the space complexity of an algorithm?,The space complexity of an algorithm measures the amount of memory it requires as a function of the input size.,"Space complexity helps determine the memory requirements of an algorithm, which is essential for efficient memory usage.",An algorithm's space complexity gauges how much memory it uses in relation to the size of the input.,The amount of memory an algorithm uses in relation to the size of the input is measured by its space complexity.,"As a function of the size of the input, an algorithm's space complexity quantifies how much memory it needs.",Easy,It's about how much memory an algorithm uses.
What is a brute force algorithm?,A brute force algorithm solves a problem by exhaustively checking all possible solutions.,Brute force algorithms are straightforward but often inefficient due to their high time complexity.,A brute force algorithm solves a problem by thoroughly examining every potential answer.,"By thoroughly examining each potential solution, a brute force algorithm finds the solution to a problem.",An algorithm known as brute force solves a problem by thoroughly examining every potential answer.,Easy,A simple method that tries everything.
What is memoization?,Memoization is a technique where the results of expensive function calls are stored and reused to avoid redundant computations.,Memoization can significantly improve the performance of recursive algorithms by eliminating redundant function calls.,"In order to prevent repeating calculations, memory is a strategy where the outcomes of pricey function calls are saved and reused.",Memorization is a method for avoiding unnecessary calculations by storing and reusing the outcomes of pricey function calls.,"In order to save time and prevent unnecessary computations, memory is a mechanism that stores and reuses the results of expensive function calls.",Easy,Remembering answers to avoid repeating work.
